"keyword","sumFreq","numWords"
"AND DEMAND PLANNING",3,3
"AND DEVELOPMENT",3,2
"AND EXTERNAL",3,2
"AND HAVE",3,2
"AND IMPROVING",3,2
"AND ITS",3,2
"AND KNOWLEDGE",3,2
"AND MACHINE LEARNING TECHNIQUES",3,4
"AND MANAGE",3,2
"AND PREDICTIVE",3,2
"AND SCALE",3,2
"AND SUPPLY",3,2
"AND SUPPLY CHAIN",3,3
"AND SUPPORT",3,2
"AND VISION",3,2
"AND VISUALIZE",3,2
"AND WRITTEN",3,2
"AND WRITTEN COMMUNICATION",3,3
"AND WRITTEN COMMUNICATION SKILLS",3,4
"ANNOTATION",3,1
"APPLIED STATISTICS",3,2
"APPROVED",3,1
"ARCHITECTURES",3,1
"ARE AN",3,2
"ARE COMMITTED",3,2
"ARE ELIGIBLE",3,2
"ARE NOT",3,2
"AREA",3,1
"AREAS",3,1
"ARTIFICIAL",3,1
"ARTIFICIAL INTELLIGENCE",3,2
"AS A DATA",3,3
"AS PYTHON",3,2
"AS PYTHON R",3,3
"AT A",3,2
"BACKGROUNDS",3,1
"BASIC QUALIFICATIONS",3,2
"BIG DATA",3,2
"BRQC",3,1
"BUILDING A",3,2
"BUILDING TOOLS",3,2
"BUSINESS AND",3,2
"BUSINESS NEEDS",3,2
"BUSINESS OUTCOMES",3,2
"BUSINESS REQUIREMENTS",3,2
"BUSINESSES",3,1
"CANDIDATE WILL",3,2
"CARE",3,1
"CAREERS",3,1
"CENTER",3,1
"CHALLENGING",3,1
"CITIZENSHIP IS",3,2
"CLEANSING",3,1
"CLIMATE CENTRAL",3,2
"CLIMATE DATA",3,2
"CODING",3,1
"COLLABORATE WITH",3,2
"COLLEAGUES",3,1
"COLLECTION",3,1
"COME",3,1
"COMMUNICATING",3,1
"COMPANY IS AN EQUAL OPPORTUNITY EMPLOYER",3,6
"COMPLIANCE",3,1
"COMPUTING",3,1
"CONSIDER",3,1
"CONSUMER",3,1
"CONSUMERS",3,1
"CONTACT",3,1
"CONTEXT",3,1
"CONTINUE",3,1
"COUNSELING",3,1
"COUNTRY",3,1
"COURSEWORK",3,1
"COVER",3,1
"COVID19",3,1
"COX",3,1
"CREATIVE",3,1
"CROSS",3,1
"CURRENT",3,1
"CUSTOM SOFTWARE",3,2
